Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","54","Denmark","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","5771.88","X","Figure from international organizations"
"FBS","Food Balances (2010-)","63","Estonia","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","1325.65","X","Figure from international organizations"
"FBS","Food Balances (2010-)","67","Finland","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","5532.16","X","Figure from international organizations"
"FBS","Food Balances (2010-)","99","Iceland","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","339.03","X","Figure from international organizations"
"FBS","Food Balances (2010-)","104","Ireland","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","4882.49","X","Figure from international organizations"
"FBS","Food Balances (2010-)","119","Latvia","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","1906.74","X","Figure from international organizations"
"FBS","Food Balances (2010-)","126","Lithuania","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","2759.63","X","Figure from international organizations"
"FBS","Food Balances (2010-)","162","Norway","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","5378.86","X","Figure from international organizations"
"FBS","Food Balances (2010-)","210","Sweden","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","10036.38","X","Figure from international organizations"
"FBS","Food Balances (2010-)","229","United Kingdom of Great Britain and Northern Ireland","511","Total Population - Both sexes","2501","Population","2019","2019","1000 persons","67530.17","X","Figure from international organizations"
